Product_id,Product_weight,Product_fat,Product_type,Product_MRP,Product_%discount
0,9.95,1,24,54.28,
1,3.31,3,8,195.18,17
2,1.61,2,27,280.72,9
3,0.52,2,20,202.32,11
4,2.85,1,22,125.91,14
5,1.62,1,21,191.56,4
6,3.33,3,10,81.55,20
7,7.25,3,24,386.98,10
8,2.93,3,2,176.96,6
9,6.84,2,0,255.63,8
10,9.09,1,3,94.75,6
11,6.85,2,19,333.31,16
12,3.27,3,11,63.96,6
13,8.69,3,17,54.65,15
14,1.35,1,26,7.7,
15,2.96,1,16,311.96,4
16,9.05,2,18,121.18,3
17,9.9,3,20,371.96,9
18,2.0,3,29,157.2,9
19,0.28,3,1,74.16,7
20,3.91,1,24,395.2,7
21,8.43,3,19,339.35,20
22,1.39,3,24,171.15,4
23,9.55,1,2,315.03,8
24,1.42,2,13,343.47,17
25,6.59,3,27,382.07,2
26,4.78,2,7,173.8,10
27,2.71,2,23,351.94,
28,8.4,2,6,396.37,
29,2.7,2,23,279.04,16
30,2.91,0,29,355.35,18
31,1.54,3,7,215.77,16
32,4.1,1,17,384.22,8
33,9.53,0,28,136.49,4
34,0.55,2,11,305.76,18
35,7.54,3,17,156.92,
36,9.39,3,22,227.77,10
37,5.81,3,2,75.89,6
38,8.82,2,9,312.05,
39,5.79,3,8,165.34,11
40,3.5,2,10,292.74,
41,3.65,3,12,36.04,0
42,6.39,2,20,20.44,
43,8.26,0,18,104.51,1
44,0.13,0,0,8.97,
45,9.4,1,18,288.9,
46,3.03,3,24,261.6,7
47,2.62,3,22,259.39,8
48,0.78,3,21,152.7,5
49,1.44,0,0,70.05,2
50,2.71,1,4,241.25,
51,9.81,1,10,98.79,17
52,8.4,0,26,194.05,
53,9.24,3,14,122.22,4
54,9.73,2,15,293.42,12
55,7.66,0,30,251.11,20
56,7.42,1,24,107.59,
57,1.6,2,9,154.11,0
58,3.62,2,14,398.74,16
59,2.7,1,12,295.12,1
60,4.11,0,1,47.38,9
61,4.73,3,18,212.36,20
62,6.6,3,22,266.51,5
63,7.7,2,21,163.91,9
64,3.58,1,5,86.14,2
65,9.71,0,30,167.97,3
66,1.07,3,7,380.51,20
67,8.99,1,13,163.28,0
68,7.51,2,27,218.38,2
69,0.97,1,24,316.63,16
70,8.85,2,11,209.65,16
71,7.83,0,16,204.34,20
72,7.93,2,10,27.67,15
73,1.81,3,9,93.41,13
74,0.67,2,28,181.68,17
75,2.02,2,22,49.96,0
76,1.74,2,19,217.54,17
77,3.32,3,22,300.8,4
78,7.13,1,9,21.92,13
79,1.96,1,15,375.08,17
80,1.31,2,29,207.38,8
81,9.37,0,0,252.02,1
82,0.41,2,13,55.28,4
83,6.81,2,11,41.97,14
84,6.35,1,11,391.3,
85,4.58,2,24,27.04,12
86,7.08,3,15,72.94,15
87,5.11,2,0,187.93,1
88,1.57,1,11,62.05,
89,8.68,0,24,43.47,
90,1.72,2,29,362.62,
91,4.9,1,17,129.03,20
92,4.76,0,19,397.83,0
93,4.34,2,5,141.55,0
94,1.87,3,3,303.45,5
95,9.03,1,22,76.29,
96,2.04,1,28,314.89,
97,0.87,2,3,382.77,3
98,3.12,2,2,324.06,5
99,0.17,2,4,66.75,
100,2.86,3,29,182.21,1
101,1.12,1,17,163.01,17
102,6.76,1,4,225.72,10
103,9.63,2,23,108.44,13
104,1.83,0,13,1.7,15
105,5.23,1,21,238.99,
106,6.27,1,15,68.82,4
107,7.8,0,21,139.31,4
108,1.07,0,13,251.7,14
109,6.71,2,11,269.94,1
110,6.98,2,15,223.65,
111,7.1,3,1,0.37,17
112,8.67,2,11,395.23,18
113,5.54,3,25,72.35,15
114,4.65,0,20,385.5,7
115,6.24,2,28,22.61,13
116,8.41,2,19,51.55,18
117,3.7,3,17,388.91,
118,7.04,1,3,153.44,19
119,8.56,3,23,28.47,13
120,4.8,3,20,231.81,
121,7.82,0,6,172.47,17
122,4.5,2,24,173.03,3
123,0.4,1,30,146.87,18
124,9.55,0,27,39.89,17
125,4.39,0,12,182.35,
126,3.41,2,12,43.86,11
127,3.5,3,2,42.69,14
128,4.36,0,9,235.59,4
129,1.46,0,10,296.4,1
130,8.57,3,4,390.15,9
131,8.3,3,28,359.81,13
132,3.63,0,6,263.48,
133,3.32,3,29,336.17,3
134,9.1,3,12,96.63,10
135,1.04,2,21,179.17,
136,4.33,2,24,144.68,12
137,2.14,1,22,206.34,12
138,2.35,0,20,106.76,8
139,0.5,1,24,289.47,17
140,6.04,1,22,233.11,
141,1.59,1,10,348.17,18
142,1.54,2,5,386.86,5
143,0.39,3,9,73.45,14
144,7.33,2,18,236.15,14
145,7.99,0,1,307.39,15
146,2.2,2,7,253.34,13
147,0.59,1,2,206.89,3
148,3.02,3,13,98.71,7
149,3.87,1,8,15.6,11
150,1.65,0,30,263.64,
151,3.43,0,13,172.91,6
152,7.2,1,28,151.71,
153,7.86,1,13,385.76,9
154,6.95,2,22,272.22,17
155,9.79,2,1,389.15,3
156,7.88,2,24,324.79,14
157,8.12,0,15,222.81,8
158,6.84,0,11,249.9,5
159,9.87,0,18,350.1,7
160,6.81,3,7,222.82,
