Product_id,Store_id,Product_stock,Product_visibility
1096,210,,0.14
922,129,5222,0.02
715,189,9550,0.17
2650,155,82,0.19
1555,140,8001,0.06
4269,79,6259,0.06
4885,100,4607,0.05
1360,232,2714,0.18
3463,22,9822,0.15
4948,69,768,0.12
770,5,826,0.14
4370,170,6449,0.1
3436,12,2494,0.16
975,177,2435,0.02
4415,4,5751,0.09
1410,14,3476,0.05
2910,153,6066,0.17
1980,193,5050,0.1
1001,189,4060,0.03
3780,197,9020,0.1
4976,20,2096,0.15
2217,63,4672,0.16
3601,159,7526,0.18
3393,209,6958,0.16
2926,189,,0.11
545,108,4474,0.16
1254,180,4540,0.11
4232,148,3296,0.11
2968,215,9934,0.1
4813,14,8918,0.14
3788,16,8061,0.19
3022,206,6151,0.19
2301,85,6503,0.13
1695,220,7616,0.04
4604,119,7543,0.19
378,45,9420,0.1
2199,118,7456,0.03
2448,46,8621,0.14
3799,57,9106,0.2
1501,164,171,0.13
2882,43,,0.17
181,71,7463,0.14
3916,40,3580,0.07
3743,86,7422,0.12
2445,109,8997,0.06
3420,141,,0.11
4191,46,3791,0.1
868,9,1370,0.1
4349,73,1701,0.15
4384,37,8425,0.02
2823,73,8871,0.17
4389,30,657,0.1
2475,205,6188,0.11
3497,153,2865,0.02
46,176,3243,0.05
1837,181,4231,0.1
451,162,4321,0.13
432,147,2941,0.1
487,148,3385,0.05
2228,91,3614,0.12
1182,114,,0.12
1784,81,6303,0.13
693,194,4343,0.02
4503,77,8305,0.04
252,113,2875,0.2
4653,17,4333,0.02
2331,93,440,0.18
1349,91,2095,0.06
4520,118,8112,0.06
2189,147,2066,0.1
4558,102,973,0.14
2285,160,3385,0.11
882,160,,0.09
4416,68,6052,0.12
2505,213,8018,0.02
646,54,106,0.02
4077,147,1326,0.13
3458,79,7199,0.02
4805,223,1293,0.16
510,132,117,0.17
2299,130,744,0.1
4769,83,,0.19
3211,32,2478,0.1
4502,18,7576,0.02
2045,76,,0.03
3644,25,6186,0.05
3918,48,5093,0.16
3753,185,829,0.03
31,161,6256,0.03
988,205,2913,0.12
4386,223,3593,0.12
3869,109,,0.12
3997,83,541,0.03
693,194,1639,0.01
1602,74,3977,0.07
2495,12,4068,0.07
1148,223,,0.13
2182,48,5609,0.16
4245,174,1595,0.14
2546,102,3875,0.12
414,11,,0.11
1734,191,7544,0.1
4111,9,1827,0.03
2824,156,4144,0.03
3042,71,3940,0.15
2323,90,,0.13
13,6,2208,0.02
1957,107,7290,0.15
4439,94,4261,0.1
3382,135,803,0.08
1308,87,4352,0.19
2579,152,5148,0.16
4199,188,,0.08
696,115,5463,0.18
85,154,1831,0.11
3386,91,357,0.16
155,87,6611,0.2
908,208,6789,0.05
2401,143,2933,0.15
4491,109,9841,0.18
1832,56,5776,0.14
4184,160,3590,0.04
3104,46,1835,0.04
693,20,5022,0.08
4404,81,693,0.02
1298,153,4629,0.13
3740,226,1825,0.19
4779,155,9421,0.06
5041,133,3450,0.18
2335,49,2456,0.1
123,10,5558,0.15
2747,76,3329,0.07
3036,229,,0.19
2244,160,2478,0.09
1082,92,1188,0.2
700,64,4176,0.05
3446,215,5916,0.12
4684,75,2996,0.09
2652,26,9858,0.11
4439,19,8667,0.05
1426,70,2329,0.13
1794,69,3143,0.04
674,151,7813,0.14
114,83,5186,0.15
4781,207,,0.07
2974,61,313,0.16
3119,72,4469,0.13
2120,231,8478,0.16
4231,184,2816,0.13
4653,117,7058,0.1
4624,85,1307,0.04
4526,138,7413,0.04
3553,232,1086,0.2
2180,142,9777,0.02
4711,191,5652,0.06
3924,134,2332,0.03
3592,211,,0.08
4808,62,5592,0.03
4058,89,1612,0.02
4594,75,5181,0.18
4664,69,9531,0.16
3332,60,214,0.13
4541,169,959,0.19
2456,111,7932,0.07
2819,124,7007,0.15
2746,144,,0.18
1817,134,5441,0.09
4057,141,99,0.19
4359,176,9089,0.06
667,62,8302,0.07
4462,9,9900,0.19
2457,40,5736,0.03
3712,124,9409,0.03
2774,81,1498,0.11
4035,45,7750,0.13
2162,102,7190,0.06
3800,92,3610,0.12
3948,81,434,0.12
328,193,8362,0.12
1758,24,2289,0.1
2592,77,8326,0.07
2754,215,8610,0.12
3733,186,7921,0.06
3345,142,7067,0.08
3781,34,9619,0.18
4623,102,2495,0.02
2965,187,8673,0.13
417,5,7816,0.09
2383,131,1379,0.07
170,57,6966,0.05
4487,63,3505,0.18
746,154,3872,0.11
401,150,2559,0.01
