Product_id,Store_id,Sale_date,Sale_amount
1096,210,14:12:2018,26
922,129,30:2:1999,46
715,189,27:4:2007,7
2650,155,3:5:1985,6
1555,140,6:4:1989,5
4269,79,30:4:2004,4
4885,100,15:1:1964,25
1360,232,18:1:2010,30
3463,22,7:9:1980,10
4948,69,30:8:2009,5
770,5,23:10:2012,26
4370,170,24:11:2008,51
3436,12,28:1:2010,8
975,177,5:2:1988,38
4415,4,6:7:1980,40
1410,14,20:10:1991,24
2910,153,29:8:2002,1
1980,193,26:6:1993,26
1001,189,1:1:1998,2
3780,197,1:8:1984,16
4976,20,29:3:2016,25
2217,63,16:5:2001,5
3601,159,29:6:1984,16
3393,209,19:11:1992,20
2926,189,31:4:1992,4
545,108,18:1:2000,26
1254,180,15:3:1902,4
4232,148,23:6:1989,4
2968,215,6:10:2008,18
4813,14,3:3:1993,15
3788,16,10:7:1949,13
3022,206,11:7:2013,13
2301,85,18:10:2016,11
1695,220,3:8:2008,7
4604,119,30:2:1924,19
378,45,7:11:2013,21
2199,118,15:2:2010,21
2448,46,10:2:1989,24
3799,57,12:1:1961,15
1501,164,3:3:1955,4
2882,43,21:11:1944,26
181,71,30:10:2008,1
3916,40,24:6:2002,1
3743,86,20:3:2007,21
2445,109,27:11:2008,13
3420,141,7:1:1950,4
4191,46,4:2:1978,11
868,9,4:7:2018,14
4349,73,28:7:1961,40
4384,37,18:12:2007,36
2823,73,3:4:1970,35
4389,30,29:3:2011,26
2475,205,13:8:1946,46
3497,153,14:2:2008,3
46,176,17:9:1998,20
1837,181,25:12:1954,30
451,162,2:9:1995,6
432,147,21:7:2004,6
487,148,21:4:2016,6
2228,91,13:7:1999,16
1182,114,24:10:2014,31
1784,81,7:12:1954,19
693,194,7:9:2018,3
4503,77,12:10:1970,21
252,113,28:9:2000,37
4653,17,20:11:1917,36
2331,93,3:7:1967,35
1349,91,24:8:1994,1
4520,118,6:1:2008,17
2189,147,16:1:2011,16
4558,102,1:3:1957,34
2285,160,12:11:1992,36
882,160,31:4:2003,2
4416,68,5:4:2018,46
2505,213,16:4:1953,24
646,54,19:10:1991,15
4077,147,5:10:1968,5
3458,79,14:9:1984,21
4805,223,30:7:1998,33
510,132,13:6:1989,28
2299,130,20:1:1980,24
4769,83,29:8:1946,29
3211,32,18:6:2016,15
4502,18,31:2:2011,4
2045,76,3:9:1972,21
3644,25,10:12:1969,20
3918,48,23:3:1935,51
3753,185,9:8:2012,37
31,161,13:11:1966,31
988,205,9:6:1966,10
4386,223,16:7:1997,34
3869,109,23:7:2011,36
3997,83,21:7:1945,3
693,194,15:6:2018,4
1602,74,24:9:2011,27
2495,12,15:1:2011,16
1148,223,23:11:1979,27
2182,48,17:7:1963,31
4245,174,20:6:1993,39
2546,102,20:4:2003,11
414,11,17:4:1929,21
1734,191,28:6:1977,6
4111,9,13:4:2008,10
2824,156,15:7:2010,32
3042,71,19:2:2009,19
2323,90,31:7:2017,36
13,6,16:1:1981,9
1957,107,3:11:1918,23
4439,94,1:5:1987,6
3382,135,2:5:1980,15
1308,87,13:2:2006,41
2579,152,31:12:2000,31
4199,188,7:4:2009,29
696,115,16:5:2017,9
85,154,26:6:2017,10
3386,91,1:3:2018,41
155,87,18:2:1942,7
908,208,23:7:1998,1
2401,143,29:6:2000,36
4491,109,24:12:2013,64
1832,56,25:8:1978,15
4184,160,11:1:1963,41
3104,46,11:1:1950,36
693,20,23:6:2003,11
4404,81,1:8:2012,31
1298,153,13:2:2000,9
3740,226,9:7:2017,26
4779,155,27:7:1942,19
5041,133,13:10:2001,26
2335,49,30:12:1990,11
123,10,11:3:1996,16
2747,76,15:3:2015,31
3036,229,10:3:1986,9
2244,160,21:8:1939,11
1082,92,27:10:2012,3
700,64,4:6:2004,39
3446,215,16:7:2016,11
4684,75,23:4:2001,22
2652,26,17:3:1975,0
4439,19,12:8:1980,10
1426,70,4:4:2007,6
1794,69,9:11:2015,4
674,151,28:3:2008,3
114,83,28:6:1941,21
4781,207,27:2:2009,1
2974,61,18:2:1992,0
3119,72,31:8:2004,2
2120,231,12:8:1962,51
4231,184,10:11:1993,41
4653,117,29:11:1985,46
4624,85,30:12:1992,22
4526,138,31:6:2006,21
3553,232,28:6:1915,3
2180,142,1:3:1992,14
4711,191,29:12:1996,12
3924,134,7:1:2001,33
3592,211,2:9:1988,46
4808,62,19:2:2005,18
4058,89,10:7:2013,6
4594,75,29:4:1990,15
4664,69,30:1:2007,19
3332,60,22:11:2018,19
4541,169,7:2:1934,1
2456,111,20:10:2013,41
2819,124,9:6:2008,11
2746,144,24:2:2004,30
1817,134,24:7:1911,26
4057,141,5:4:1959,11
4359,176,30:1:1983,54
667,62,24:2:2012,17
4462,9,20:12:1981,23
2457,40,12:8:1978,4
3712,124,14:11:2010,11
2774,81,15:6:2007,16
4035,45,12:6:2018,14
2162,102,4:7:1950,51
3800,92,2:5:2010,26
3948,81,24:9:2010,1
328,193,7:4:1968,12
1758,24,24:8:1983,9
2592,77,31:4:1935,26
2754,215,14:5:2011,19
3733,186,9:7:1976,16
3345,142,22:3:1986,46
3781,34,13:4:1945,46
4623,102,6:1:2010,0
2965,187,27:6:1993,1
417,5,28:7:1980,15
2383,131,3:2:1962,2
170,57,28:12:1996,15
4487,63,17:5:2001,16
746,154,16:5:2016,1
401,150,28:4:2001,15
413,161,15:6:2016,8
2030,27,15:11:2002,16
4078,214,18:11:2011,26
1316,200,15:5:1965,31
1101,22,16:2:1970,19
591,199,12:10:2018,46
2954,33,24:5:2003,13
2923,2,10:7:1962,15
5031,26,15:4:1917,5
421,195,12:7:2003,16
3603,193,12:8:1956,23
4637,6,15:6:2011,9
636,155,2:3:1956,3
3939,211,5:7:1977,1
249,122,9:2:1962,36
2797,169,27:12:1967,22
2363,104,27:2:1957,16
3477,101,4:11:2003,11
1413,149,13:3:2000,16
850,216,20:9:2009,4
1141,96,12:11:2018,1
2880,207,27:1:2014,31
808,115,31:8:2001,51
1257,141,31:2:1962,1
2077,232,18:4:1999,46
3774,11,6:10:1941,31
638,120,1:3:1986,26
3592,73,28:3:2016,55
3844,211,1:3:1991,9
2430,156,9:1:1987,6
1211,90,27:8:2018,11
1732,64,14:11:2011,1
3278,129,20:11:2010,4
4499,193,13:7:1958,17
3236,89,30:7:2010,9
280,138,18:8:1986,18
1447,218,24:11:1973,0
3938,167,27:6:2010,29
4624,190,7:5:1994,27
3884,117,16:1:1996,21
3345,161,20:4:1963,31
268,80,16:8:2005,14
3798,206,24:6:2018,16
3806,14,27:6:1999,36
1381,92,10:8:2011,16
4859,176,1:7:1980,23
1865,54,1:5:1993,6
113,151,13:3:2018,10
3713,32,12:11:1999,41
1730,179,18:7:2017,29
3251,182,28:9:1962,46
4569,104,26:10:1999,20
3920,79,1:3:1983,20
240,162,20:5:2012,20
3652,120,15:12:1972,10
1172,201,8:8:1973,15
1483,124,14:5:1986,46
1578,110,19:12:1930,6
2998,47,5:7:1970,1
1296,115,30:5:2005,29
2158,195,19:3:2012,24
4289,89,12:4:2013,27
5075,154,16:7:2015,1
3590,179,10:2:2016,19
113,138,13:5:2018,1
4678,25,22:12:1947,16
3006,232,22:11:1977,2
2003,216,18:4:2010,5
2118,76,29:10:2012,16
3909,198,19:1:1924,8
2550,67,6:12:2000,6
2684,210,5:3:2017,36
908,139,7:1:2012,16
2999,152,31:11:1994,15
4757,87,28:11:1991,1
3704,115,29:9:2009,4
172,107,9:6:1915,22
3068,124,31:8:1996,19
4108,218,29:11:1981,6
1258,215,9:7:2014,19
2610,91,11:1:1997,6
4777,102,12:2:1947,2
4182,3,21:10:1991,6
2162,53,22:12:1974,50
4969,125,13:8:1988,14
1836,141,29:3:1967,9
3793,140,10:3:1999,21
1272,182,18:7:2000,36
1540,42,19:6:2000,3
2539,164,19:8:1955,27
3330,50,1:2:2017,2
1356,122,24:2:1986,21
3459,168,16:12:1983,4
3126,108,21:4:2008,33
3855,106,1:8:1949,21
525,183,10:5:1964,27
2748,86,23:8:2008,4
255,197,1:12:2005,20
2064,187,27:6:1999,11
1564,156,25:11:1977,4
584,180,27:1:1918,34
3349,148,18:3:1998,9
3110,160,3:11:1994,35
1795,167,23:2:1985,1
1806,198,21:12:1937,36
2521,84,31:12:1922,13
2032,132,17:4:1997,0
3680,229,9:5:1988,36
4951,31,28:2:1989,46
4089,191,10:8:1986,21
4222,70,14:1:1987,15
5094,88,12:2:2014,5
736,232,12:1:1948,29
3874,115,4:6:2009,9
2694,220,13:10:2013,19
833,111,5:2:2015,31
565,88,4:9:1997,30
4386,87,6:3:1986,20
2775,177,21:9:1980,9
988,180,2:1:1961,23
217,170,29:5:2012,28
3531,189,7:2:2004,8
2062,17,24:8:1924,21
2415,127,1:12:1929,6
4084,108,16:2:2007,0
5019,103,21:11:1930,13
617,50,22:5:2017,25
1566,93,24:5:1984,9
2852,220,8:8:2016,26
265,67,9:10:1986,51
867,2,13:12:1952,5
4553,205,18:7:1928,23
4533,107,14:1:1920,11
3432,129,24:10:1970,0
3269,69,22:8:2012,10
1197,54,23:8:1988,34
4223,83,29:3:1935,24
1319,122,28:7:2013,16
196,21,3:12:2017,1
3953,212,2:9:2013,41
1087,66,16:7:2017,6
404,137,11:6:1986,56
1181,122,9:5:2002,36
1816,2,26:10:1924,26
2047,159,21:1:2010,1
2133,115,27:1:2012,32
2707,41,18:2:1961,51
2193,39,1:11:1921,21
4032,1,2:12:2011,2
851,160,9:10:1993,22
2684,223,21:10:1977,51
255,43,24:12:1991,27
3745,165,19:9:2006,21
2938,121,6:11:1968,17
1413,45,27:6:2013,6
4138,112,3:6:2015,24
1795,166,5:5:2002,11
4118,41,14:8:1957,17
5,146,23:9:1994,29
993,131,13:12:1963,1
5031,84,2:9:1996,0
1617,125,18:9:1953,33
3411,6,19:9:2002,56
1714,66,14:7:2005,46
3762,151,12:11:2015,1
102,70,2:7:1910,4
4388,202,12:5:2006,29
997,174,7:3:2008,39
1995,3,20:3:2014,26
3162,92,22:4:2010,3
3170,147,28:10:1982,26
2092,184,20:12:1956,19
4044,91,10:9:1995,18
1405,58,18:6:2014,16
3848,110,10:4:2013,25
2852,133,30:1:2012,51
2560,192,11:7:1990,26
4067,118,27:6:2010,11
3907,91,17:1:2001,1
4922,3,4:1:2008,6
310,153,30:1:2004,1
1005,224,12:10:2013,21
2761,172,23:10:1982,27
704,19,7:10:2000,9
853,145,22:10:2013,15
2150,72,9:9:1971,31
174,180,30:6:1969,32
1044,55,30:12:1999,11
685,30,8:9:2011,16
943,130,2:7:1952,25
3533,42,22:8:1998,0
922,75,14:8:1986,31
196,174,10:11:2017,19
2874,226,4:7:2009,14
4798,45,22:1:2015,46
4388,109,20:11:2007,13
3977,178,9:1:1946,18
4891,138,4:11:2003,46
1969,175,25:5:1954,36
958,55,14:10:2002,46
3199,132,28:9:1978,30
2940,161,2:4:1999,4
1571,45,9:4:2013,9
4639,1,10:8:1994,15
5083,50,21:11:2017,11
3488,11,17:8:1937,11
4717,82,14:7:1935,36
795,33,24:5:2008,10
3280,11,29:6:1993,46
1823,141,9:9:1933,36
2213,161,5:2:1978,34
3224,5,18:7:2014,26
